on x=-32..18,y=-49..-2,z=-43..3
on x=-87008..-60366,y=-38875..-13453,z=-27795..-8059
on x=28857..56676,y=46055..58209,z=-57163..-35870
on x=37827..56893,y=51725..73853,z=12839..35289
on x=-9554..-4174,y=-39960..-12261,z=-88665..-55895
on x=10231..37253,y=51552..73709,z=15543..34468
on x=-91453..-55431,y=-30966..-22590,z=912..6078
on x=-15548..13706,y=85..13671,z=-89870..-69011
on x=9096..37520,y=52365..74516,z=-35737..-16011
on x=30879..55363,y=-83165..-56981,z=-27215..-15734
on x=-13689..3798,y=-4094..14863,z=-90175..-60055
on x=28959..50465,y=-72289..-60519,z=2098..27015
on x=33972..38764,y=17655..43968,z=-69191..-62222
on x=58793..77510,y=25017..44081,z=7734..27275
on x=72280..93643,y=-28811..-17914,z=-31668..1633
on x=-9578..-1180,y=-81603..-51234,z=-51968..-26090
on x=-5887..19193,y=-33987..-11738,z=-89378..-58867
on x=-81085..-49986,y=-48821..-37243,z=6616..31373
on x=-16578..-5194,y=62042..92781,z=-12438..5855
on x=-77736..-60862,y=-62708..-42206,z=-27972..-11616
on x=-16816..12403,y=7100..23330,z=71861..82834
on x=-27155..-11286,y=-81042..-71520,z=-17468..16908
on x=-6281..-3063,y=-96146..-78012,z=-24792..-8886
on x=63256..80947,y=-46184..-22853,z=-30506..-21756
on x=-33867..-4610,y=8940..35588,z=-77803..-65303
on x=-48659..-26899,y=-79830..-50086,z=-28452..-21210
on x=-67126..-37734,y=15571..38429,z=-60022..-40717
on x=49822..65596,y=-69599..-44970,z=-17742..5303
on x=-25557..-15092,y=-36362..-8715,z=55262..83505
on x=-13842..13150,y=-66895..-59718,z=-46296..-28479
on x=39552..50946,y=-60150..-50799,z=27846..40741
on x=-76863..-73896,y=-30384..-21568,z=-28939..-4857
on x=52364..80542,y=36135..63656,z=2879..31637
on x=19737..24560,y=58599..89313,z=-13963..7462
on x=1881..18467,y=-77595..-52677,z=-41525..-26174
on x=13573..25588,y=-67264..-33890,z=38048..65254
on x=-39113..-16350,y=-74024..-50805,z=-56167..-41568
on x=20706..21472,y=-74844..-62477,z=19834..36560
on x=7333..11704,y=59476..74631,z=32828..50220
on x=-60717..-47682,y=-38093..-32890,z=-54134..-40056
on x=-34489..-5144,y=-62650..-32714,z=57892..71295
on x=14172..36635,y=58909..62581,z=30992..59293
on x=11691..28559,y=32866..55793,z=-78635..-45424
on x=1923..32535,y=-60993..-46317,z=-73461..-56588
on x=28005..34144,y=-78202..-51610,z=15823..37302
on x=-10225..10584,y=30186..55174,z=53518..82290
on x=-86523..-68467,y=10375..25060,z=-36484..-9740
on x=-78284..-54484,y=-37370..-23941,z=7654..40188
on x=69237..86982,y=-48693..-12581,z=15120..24404
on x=29721..51779,y=-49913..-25284,z=46924..66255
on x=59122..77342,y=-32839..-2216,z=-32457..-21167
on x=-63410..-36877,y=50178..80121,z=-12457..13355
on x=-61181..-44025,y=39446..41629,z=-67777..-37157
on x=-17463..-4589,y=-69690..-42187,z=46474..56481
on x=-70083..-44114,y=-56568..-34697,z=1883..25865
on x=67007..78152,y=4382..31754,z=-31262..-10189
on x=63184..85695,y=2681..22406,z=39577..57174
on x=-36960..-20822,y=-35234..-19666,z=-73178..-54135
on x=2446..29286,y=49673..61217,z=-53821..-38922
on x=-8735..23469,y=66198..86751,z=-40443..-16261
on x=-23390..8498,y=-82256..-58734,z=39769..57391
on x=5945..25175,y=5269..22982,z=69388..81189
on x=-9771..18524,y=72842..95260,z=-5021..4012
on x=-51772..-37919,y=47043..81317,z=-5846..27300
on x=48798..83119,y=-55523..-25947,z=4394..21059
on x=55572..69032,y=-48002..-36964,z=-17342..647
on x=-44829..-32932,y=-35651..-5696,z=-79658..-55963
on x=18013..54374,y=-43967..-21760,z=-79107..-41054
on x=32956..50515,y=30994..64621,z=-70686..-45249
on x=-62545..-57181,y=10019..41591,z=46282..55593
on x=62433..74009,y=-63816..-43553,z=-13196..6782
on x=-77529..-50144,y=-51801..-46582,z=9282..19544
on x=74707..87068,y=-315..24269,z=-4162..26292
on x=-15915..3844,y=-57696..-40910,z=-71880..-56737
on x=-35145..-15677,y=55481..69189,z=-53756..-26195
on x=27612..59656,y=-44138..-33003,z=-74654..-54477
on x=21448..55471,y=34490..47828,z=47696..56709
on x=41704..56657,y=23782..40528,z=44697..63217
on x=-85720..-67864,y=-39939..-25579,z=-15577..9385
on x=46933..73934,y=-31669..3205,z=44351..70242
on x=45925..66561,y=16674..53838,z=-46157..-18206
on x=51620..60247,y=49303..66958,z=-24432..6032
on x=-48876..-31090,y=22495..27171,z=47508..60551
on x=65332..80186,y=34369..53315,z=13570..22869
on x=36655..43547,y=-44546..-24231,z=46740..74946
on x=-72450..-56083,y=-60041..-25505,z=-19975..-15665
on x=-61366..-56495,y=-51815..-26578,z=20190..43247
on x=36568..57312,y=21633..35170,z=51997..73893
on x=-29809..-13792,y=44599..72717,z=47279..58862
on x=70457..92215,y=-13055..2261,z=-51495..-23606
on x=64520..75700,y=31668..52783,z=-35833..-16393
on x=-79154..-48196,y=7306..25933,z=19097..39926
on x=-35979..-7949,y=62778..81828,z=-14819..-2007
on x=54082..71925,y=33885..67821,z=-4364..13030
on x=-14415..292,y=-80213..-68128,z=-31982..3687
on x=25094..37955,y=-34515..-8916,z=-78570..-65936
on x=16964..41320,y=-75911..-45804,z=24736..60734
on x=57790..78224,y=10389..46556,z=-31413..-4011
on x=-88218..-63584,y=23146..52634,z=-3029..22706
on x=-59572..-43445,y=-53148..-33646,z=28672..35821
on x=-45847..-36583,y=-64682..-45313,z=-32778..-17602
on x=-34666..-1274,y=30725..44478,z=-82745..-59950
on x=-81560..-67485,y=1090..19801,z=-25054..3247
on x=-34498..-17519,y=-46498..-24905,z=66538..86926
on x=-40711..-12670,y=59177..81629,z=-20953..-3080
on x=-52566..-27006,y=48458..58323,z=-61744..-33722
on x=-70433..-51727,y=-21808..3931,z=-53940..-27362
on x=-22040..808,y=-12495..20336,z=59303..86197
on x=15085..37779,y=55395..61349,z=35001..50038
on x=1875..20738,y=-7370..28101,z=62950..79820
on x=-14585..8590,y=-49500..-38477,z=-72037..-50675
on x=56170..75701,y=35508..53150,z=9606..10470
on x=19658..42362,y=-87434..-52638,z=8513..41814
on x=-72910..-44051,y=-59272..-23349,z=17582..37950
on x=-91395..-58090,y=-2433..4676,z=-34398..-15674
on x=38721..58292,y=-45133..-17672,z=48163..74318
on x=-63099..-49000,y=33833..70870,z=-3394..29425
on x=-820..16141,y=19204..46366,z=67848..82849
on x=-72889..-57214,y=-16573..6418,z=-64277..-32447
on x=29667..62403,y=-41822..-35500,z=-60234..-42797
on x=39041..63217,y=30506..32516,z=31781..59890
on x=16090..29597,y=54548..58089,z=-63438..-34377
on x=41019..44118,y=46061..59676,z=32605..49929
on x=25061..43373,y=63771..78604,z=-40511..-32758
on x=65442..89280,y=-10502..24122,z=-31111..2880
on x=27957..61563,y=-80172..-45013,z=-36020..-6710
on x=-4878..2893,y=59921..73950,z=24621..49477
on x=-70176..-51959,y=-45031..-28231,z=-53729..-26400
on x=20493..46189,y=-85181..-58121,z=-21576..14051
on x=40842..45463,y=-5271..32039,z=62602..68475
on x=-88477..-67772,y=6567..26829,z=-8759..13692
on x=28031..41232,y=17605..42138,z=65019..76475
on x=66917..86588,y=-50850..-28370,z=-4681..-2128
on x=1607..25353,y=64035..72095,z=-45358..-28810
on x=18539..36406,y=-61309..-46355,z=-68838..-34305
on x=-90384..-70799,y=7749..13553,z=-32613..-16550
on x=-59205..-34437,y=27946..44947,z=-65845..-59431
on x=35627..45927,y=64488..82022,z=2763..34103
on x=-13982..18701,y=-21750..-3428,z=71578..87068
on x=-38787..-10302,y=-90330..-60240,z=-19740..4802
on x=-79165..-61017,y=2066..17940,z=-60736..-36241
on x=5899..32323,y=-26476..2032,z=64594..79613
on x=-79477..-63147,y=-35976..-10802,z=27872..43869
on x=53..6514,y=-68382..-51125,z=-66473..-44020
on x=-2020..18149,y=-28710..-23158,z=-78532..-72395
on x=22142..54451,y=-7608..-1572,z=60510..89315
on x=67145..70368,y=-38973..-31922,z=-35643..-10469
on x=2699..39877,y=-7299..16737,z=75263..77076
on x=60585..77521,y=-24181..-3431,z=-9013..13971
on x=-89888..-78597,y=-16284..21205,z=-15522..-2661
on x=-49725..-25246,y=-46083..-26749,z=-74367..-48470
on x=-16842..10113,y=63166..96614,z=-33912..328
on x=-91423..-72518,y=-8723..19171,z=-5295..187
on x=-14774..12246,y=47752..72945,z=-71311..-45579
on x=-67618..-59455,y=-50413..-35152,z=-30610..-6146
on x=-62342..-53284,y=-52202..-28901,z=-59058..-44084
on x=-48874..-32168,y=7363..30328,z=-88620..-67701
on x=-77392..-63727,y=-7828..18482,z=-49154..-23876
on x=-72286..-47752,y=50854..54571,z=-30463..-15666
on x=58263..90046,y=-41684..-26422,z=-9566..3520
on x=-69299..-55981,y=31064..56395,z=-29463..-11130
on x=32263..47867,y=49662..55778,z=-63867..-36910
on x=22376..42930,y=54404..87748,z=270..36666
on x=13967..42302,y=29150..54025,z=-70393..-56457
on x=13278..46340,y=-78442..-51168,z=29299..44729
on x=-83987..-63136,y=27164..46771,z=20643..43154
on x=21561..40367,y=-64528..-41636,z=-48928..-41287
on x=31236..57992,y=13612..45576,z=-74817..-45796
on x=65297..93142,y=7911..26514,z=13384..24480
on x=-48499..-43335,y=-14469..10941,z=50293..67582
on x=-289..24290,y=-78139..-63203,z=-36967..-6016
on x=58554..81781,y=-32377..-1279,z=-8578..7409
on x=74984..93908,y=-18228..-11465,z=-5040..16476
on x=-51948..-44250,y=-39982..-31365,z=-58907..-51830
on x=23539..42785,y=-42666..-5664,z=54725..90192
on x=-84530..-48332,y=16746..39561,z=-55256..-28532
on x=-86767..-70247,y=-18523..-5986,z=-4245..16726
on x=-64055..-44727,y=43947..58489,z=-25606..-11738
on x=10720..30748,y=58230..86081,z=10605..41509
on x=-10380..14208,y=56134..86009,z=-44754..-22053
off x=-68590..-67057,y=20547..46703,z=-30442..-5563
on x=-56029..-49186,y=59774..69605,z=-31507..-15875
off x=-32785..-15435,y=-82402..-62551,z=27664..44284
on x=-21756..286,y=-63365..-33689,z=46899..61819
on x=-65815..-47427,y=-33474..-14094,z=29557..46059
off x=44513..71232,y=33644..63225,z=26006..42778
on x=-32225..-25626,y=54256..90773,z=4482..32644
on x=62779..75035,y=-23763..-181,z=-42929..-18527
on x=-86460..-68431,y=-9375..16369,z=-5941..5126
on x=29855..57726,y=-56337..-30907,z=-56327..-42877
on x=19457..35099,y=-72253..-55977,z=-55265..-26093
off x=15929..33263,y=-84643..-65318,z=25940..43234
off x=45731..55834,y=-45342..-25790,z=-51915..-37202
off x=48369..67015,y=-57403..-26850,z=-31188..-22861
off x=-30677..-14565,y=65499..85547,z=-17121..13984
on x=-17741..6500,y=39260..44683,z=66045..72514
on x=43234..69304,y=-45464..-12769,z=-66513..-33228
on x=46283..51644,y=-57971..-36740,z=30802..58370
on x=-66169..-54880,y=17337..37552,z=-32721..-30133
off x=-11944..12291,y=63466..88901,z=32217..45668
off x=-81470..-62027,y=-53400..-23745,z=-11678..10809
off x=-25182..-2507,y=17622..41068,z=55321..92149
off x=-7932..20392,y=42656..56826,z=38841..68715
on x=-17945..2311,y=-88740..-75805,z=-33421..-17260
on x=13001..29689,y=23706..43534,z=51948..85292
off x=-38753..-35835,y=-59008..-44261,z=-54016..-45286
on x=54328..85425,y=23623..46760,z=-38767..-7035
on x=71749..79549,y=-15545..-18,z=-15270..5052
on x=-64852..-39164,y=35365..68480,z=-32892..-1540
off x=-49091..-40945,y=-11295..20920,z=63764..75060
off x=-21546..7322,y=6390..18510,z=76773..91750
off x=39857..72953,y=50418..55354,z=-236..4625
off x=33901..43337,y=-60622..-45812,z=-63114..-38989
on x=-30651..-6336,y=-54999..-37647,z=39334..55626
off x=7054..36140,y=66063..82298,z=-5200..17650
off x=-32497..-17903,y=29033..61674,z=-68300..-52890
off x=-70584..-45972,y=-60404..-46652,z=4814..31487
off x=31573..47138,y=68802..85894,z=2652..26073
off x=58200..87278,y=35367..45346,z=-12386..-877
on x=46192..65479,y=21593..38520,z=47486..61680
on x=-54842..-38829,y=-27381..-4213,z=-74460..-65635
on x=-50361..-28067,y=63840..88753,z=-8999..18908
on x=-77212..-65537,y=-31937..-5427,z=262..17654
off x=-34766..-16263,y=54601..71584,z=27548..46132
off x=47836..63434,y=-51645..-27231,z=-50649..-13272
on x=-22834..7293,y=-82729..-49910,z=35010..53564
off x=-20991..456,y=61018..90697,z=20346..50673
on x=-75634..-69946,y=-3195..20691,z=14422..33839
on x=31570..48675,y=-14978..12851,z=54051..68845
on x=-84103..-58747,y=-44495..-22301,z=21106..35498
off x=52448..82537,y=-4573..12614,z=-53241..-42533
off x=-18767..-1493,y=-50524..-29741,z=59589..76111
on x=-43957..-25214,y=-55483..-37993,z=52111..66435
on x=40476..72252,y=-65792..-43831,z=-35254..-28879
off x=222..20613,y=-21308..-2314,z=67021..81587
on x=54287..73442,y=-6535..17997,z=-51431..-26378
on x=19767..49012,y=53049..84962,z=-31466..-11742
on x=-33389..-13773,y=-67433..-47973,z=49467..63498
off x=-57568..-28304,y=-38798..-24345,z=-60539..-55108
off x=-94212..-78528,y=2680..8419,z=-5836..7271
off x=44573..52970,y=-68008..-48629,z=-24362..-748
on x=-67747..-52131,y=2916..26317,z=44175..74440
off x=-62901..-52220,y=20666..46844,z=38857..55860
on x=-7185..9295,y=51206..76150,z=-46310..-30452
off x=-70885..-62438,y=-31255..5942,z=-44249..-28516
off x=-66818..-50776,y=-29393..-8484,z=-62529..-40850
off x=32959..66006,y=16670..40690,z=-72822..-38606
on x=-96461..-69637,y=-6268..17200,z=-8290..20485
off x=52717..85484,y=-16928..-2533,z=-46871..-22676
on x=52778..84526,y=-57392..-38574,z=-13098..7634
off x=22474..31285,y=-82715..-66274,z=11320..30894
on x=-71326..-47035,y=-77134..-51456,z=-16220..8476
off x=-23004..2847,y=-12461..16581,z=77263..90218
on x=5634..28471,y=-78231..-55326,z=28972..44789
on x=-51196..-33467,y=-48287..-29395,z=-55898..-26628
off x=33854..54748,y=-14268..642,z=46110..73413
off x=19712..41611,y=48383..77383,z=-27397..-15038
off x=-2630..17573,y=55718..82502,z=-61671..-45513
on x=-23358..-161,y=-65196..-46000,z=51772..57587
on x=-54202..-40959,y=45462..59686,z=4015..26322
off x=-55265..-43168,y=32218..43778,z=31091..51776
on x=-87643..-72176,y=15772..34424,z=10771..18637
on x=-22471..-1983,y=-72001..-45989,z=38790..69228
on x=-64844..-59708,y=-32218..-18753,z=22957..45037
off x=-39053..-26158,y=-31892..-15371,z=-80784..-54198
on x=-18870..-12091,y=13456..45099,z=-76314..-67706
off x=3460..33236,y=55326..68645,z=-62296..-41768
on x=-88431..-72572,y=17170..27433,z=-20521..-10627
off x=-59525..-41158,y=-44130..-20008,z=-63529..-57818
off x=-86810..-66624,y=35482..58126,z=-11968..13792
on x=52010..80440,y=32281..42323,z=-45357..-24770
on x=-42965..-27997,y=-22276..7138,z=-84424..-73760
on x=34923..59926,y=-55742..-39041,z=25022..36987
on x=56712..90971,y=11461..33583,z=-6005..16856
off x=-84492..-58613,y=17580..45718,z=20742..24378
on x=47853..58908,y=53260..60153,z=-37653..-819
off x=-82862..-67952,y=29557..40522,z=-17232..14307
off x=-5683..15346,y=-86120..-61828,z=-39042..-19174
off x=-23514..-5716,y=43961..65251,z=29813..64926
off x=32936..61173,y=25564..47136,z=35941..51652
on x=-39553..-8243,y=37817..59751,z=65814..78856
off x=25696..56603,y=-44040..-17494,z=46181..73966
off x=-88191..-62117,y=-188..21668,z=-58297..-30598
off x=11037..32197,y=-34517..-2048,z=-75168..-53316
off x=-46993..-21019,y=23208..50040,z=-66457..-51551
on x=-21125..-3040,y=39513..72723,z=-65608..-42653
off x=-72390..-55390,y=32761..49172,z=-9171..7624
off x=-54756..-49310,y=-59915..-53236,z=20642..44662
off x=-38138..-18254,y=-66646..-43758,z=-63763..-38408
off x=-61156..-43732,y=-47487..-27236,z=-58970..-28940
off x=-74948..-58508,y=-40917..-23087,z=2049..38636
on x=27271..45068,y=26535..59013,z=-62049..-54154
off x=-33551..-15843,y=-62644..-27054,z=-67957..-46725
off x=55204..72443,y=-7851..5727,z=-50362..-36096
off x=-41170..-18330,y=-66017..-51580,z=29630..43528
off x=-89094..-58584,y=-25357..-15064,z=9208..32583
on x=-11078..14322,y=20305..29835,z=73101..82710
off x=55559..63319,y=-61523..-35444,z=-29140..-2329
on x=-58145..-47720,y=47180..78004,z=1852..9801
off x=-34097..-20143,y=30917..58903,z=43463..65926
on x=13161..18025,y=-64631..-51399,z=45488..72391
off x=55271..83749,y=-28123..-13871,z=23397..38636
off x=-32547..-6245,y=-94164..-73534,z=-7188..24728
on x=-36489..-18028,y=-7655..13227,z=-86822..-59737
on x=10042..13721,y=-62449..-46920,z=-65867..-47491
off x=21995..33717,y=8935..27481,z=-79823..-55773
off x=-3292..28778,y=-29548..-6977,z=67341..84503
off x=-9214..17592,y=-88601..-66839,z=23754..45567
off x=15130..39580,y=-60769..-33521,z=42201..68922
on x=62158..79854,y=9526..45265,z=-34934..-14471
off x=-51532..-22416,y=48942..82854,z=-35283..-31888
off x=-7129..9724,y=-13622..4772,z=70760..94146
on x=-87161..-73414,y=-12194..10497,z=-25132..-11027
on x=69601..86089,y=-4288..19091,z=-36124..-7618
on x=-7696..18625,y=-52949..-31952,z=48215..68742
off x=-73896..-57697,y=2253..19371,z=-58964..-27925
off x=-51219..-26765,y=2357..15669,z=55778..71228
on x=29165..40666,y=54505..74724,z=-53626..-29111
off x=-60211..-51649,y=-75289..-48206,z=-3424..12011
off x=-9429..-4428,y=26236..33177,z=62558..74495
off x=-41929..-5392,y=-76397..-55650,z=14204..36831
off x=17175..35612,y=67203..78953,z=-15014..16661
on x=-4501..18587,y=-55399..-37105,z=-64273..-57591
on x=47690..71984,y=-2905..21210,z=-52884..-47279
off x=4088..24122,y=-7229..20643,z=-93792..-77052
off x=-34183..-12263,y=-6187..-5469,z=-84604..-68360
off x=-39438..-22118,y=3850..26868,z=-82052..-55726
off x=-54939..-23770,y=-78192..-50567,z=-3432..32441
off x=-12414..3311,y=-20251..14778,z=76195..83325
on x=-32395..-10905,y=-13419..13411,z=-94302..-72825
on x=-37425..-9194,y=45992..67230,z=-59699..-39546
off x=10480..35906,y=6832..30011,z=-82426..-58627
on x=-49171..-25934,y=-79003..-58443,z=-46408..-20717
off x=67886..96229,y=-14703..-298,z=-24989..3817
off x=19936..32198,y=-44070..-13401,z=-82660..-67383
on x=57666..77271,y=28689..51955,z=12850..34914
on x=17582..33567,y=-76204..-53544,z=24912..44863
off x=-79549..-69041,y=7351..13719,z=-29721..-24471
off x=-49583..-23366,y=-6863..9070,z=-69384..-47850
on x=59860..68757,y=-54446..-34416,z=8518..23182
on x=1504..23242,y=-85307..-73701,z=-20088..4805
off x=-75735..-38348,y=8662..16235,z=-65376..-43593
on x=-71569..-52591,y=-19325..-13977,z=31145..62494
off x=64198..79555,y=-37258..-29310,z=8818..9731
on x=-14511..11395,y=6544..44296,z=73310..90702
on x=-74448..-65191,y=31476..50137,z=-634..22762
on x=53827..65102,y=-56957..-40328,z=21688..44866
off x=-73420..-54595,y=13120..33851,z=46706..50683
on x=-8629..11750,y=41560..52871,z=-76432..-62645
on x=12561..45776,y=-60167..-56239,z=42163..65955
on x=-71438..-54827,y=-53935..-29973,z=-34111..79
on x=36948..41587,y=-5258..26597,z=-74788..-50304
off x=31950..53217,y=-81146..-53896,z=-21498..527
on x=56159..80472,y=34881..50983,z=-10836..7479
off x=29596..56775,y=-53470..-30242,z=54000..68255
on x=-54016..-23362,y=40646..77064,z=-52805..-37233
on x=541..21272,y=75636..87266,z=-25788..-12083
on x=56181..84721,y=-14683..162,z=17134..29835
on x=-51027..-43416,y=50036..70271,z=26561..44972
on x=10743..32101,y=-68349..-37931,z=44848..61970
off x=-55326..-48901,y=32484..54477,z=-56240..-23404
off x=48587..62184,y=43846..62726,z=-41603..-8025
on x=4900..38715,y=68595..76192,z=25187..34335
off x=13821..30324,y=-81234..-62026,z=22261..45691
off x=-14070..23184,y=1276..14699,z=-91072..-73844
on x=-48534..-31533,y=-25248..2585,z=55004..73383
off x=46392..66155,y=-56223..-45303,z=-38611..-24559
on x=-4574..11297,y=15013..50151,z=73076..83485
on x=-33221..-1626,y=-51080..-32773,z=-77646..-65474
on x=39905..65852,y=-46854..-21146,z=49491..55990
off x=44127..70938,y=5550..35212,z=-56576..-42778
off x=13809..41675,y=-79384..-50942,z=31211..45859
off x=21195..59169,y=50006..68537,z=-2033..17819
on x=-76114..-73275,y=-11356..20556,z=-43710..-24778
on x=24471..44120,y=-33361..-23138,z=55599..78601
off x=-64184..-49325,y=5861..34254,z=39292..56947
off x=51589..61312,y=-47147..-10223,z=51825..68601
off x=-23677..-5777,y=27261..65225,z=46003..66182
